Ticker,Price,premium,strike,iv,oi,opt_vol,spread_pct,atr_pct,gap_pct,RVOL,pm_high,pm_low,pm_volume,expiry,dte_num,direction,earnings,float_shares,avg_vol,entry_stock,stop_stock,tp1_stock,tp2_stock,tp3_stock,tp1_rr,entry_note,fh_gap_pct,fh_pm_bullish,fh_pm_strong,fh_pm_note,Score,recommendation,confidence,Notes,scanned_at
SPY,$738.38,2.44,734.0,0.1976,6600,3995.0,0.0082,1.06,1.2235,0.17,735.56,729.46,0,2026-07-31,1.0,PUT  📉,,,52385537,741.93,743.89,735.98,729.1,721.27,3.0,عند مقاومة $742.32,1.19,True,False,PM صعود gap +1.2%,20,BUY,72,MegaCap +2 | OI>2K +3 | OptVol>1K +3 | Spread<3% +3 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | FH PM صعود +3 | NoEarnings? +1,2026-07-30 14:01 UTC
INTC,91.16,1.54,91.0,0.5264,3209,2094.0,0.0256,9.31,0.0541,0.24,86.85,79.43,0,2026-07-31,1.0,CALL 📈,2026-10-22,4601086360.0,129880665,91.16,88.42,94.98,98.09,101.98,1.4,عند السعر — قريب من دعم $89.59,11.55,True,True,PM صعود قوي gap +11.6%,26,BUY,89,MegaCap +2 | OI>2K +3 | OptVol>1K +3 | Spread<3% +3 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | FH PM قوي +4 | NoEarnings✓ +2 | RSI oversold +1,2026-07-30 14:01 UTC
DRAM,49.98,1.17,50.0,0.7578,29798,8424.0,0.0085,10.14,0.0707,0.58,47.75,43.24,0,2026-07-31,1.0,CALL 📈,,,56712155,49.98,47.89,51.73,54.75,58.51,0.8,عند السعر — قريب من دعم $48.64,11.66,True,True,PM صعود قوي gap +11.7%,25,AVOID,86,MegaCap +2 | OI>2K +3 | OptVol>1K +3 | Spread<3% +3 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | FH PM قوي +4 | NoEarnings? +1 | RSI oversold +1,2026-07-30 14:01 UTC
SQQQ,45.08,1.6,45.0,1.2314,11113,554.0,0.0606,6.06,-0.058899999999999994,0.28,49.43,46.5,0,2026-07-31,1.0,CALL 📈,,,64215277,45.08,44.41,46.43,48.06,49.53,2.0,عند السعر — قريب من دعم $44.92,,False,False,Finnhub quote فشل,18,BUY,78,MegaCap +2 | OI>2K +3 | OptVol>500 +2 | Spread<8% +1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | NoEarnings? +1 | RSI overbought +1,2026-07-30 14:01 UTC
TQQQ,62.81,2.22,63.0,1.1641,3490,98.0,0.0819,7.12,0.058499999999999996,0.32,61.14,57.75,0,2026-07-31,1.0,PUT  📉,,,71298488,64.07,66.86,61.64,59.4,57.29,0.9,عند مقاومة $66.23,8.88,True,True,PM صعود قوي gap +8.9%,18,AVOID,63,MegaCap +2 | OI>2K +3 | Spread>8% -1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | FH PM قوي +4 | NoEarnings? +1 | RSI oversold +1,2026-07-30 14:01 UTC
SMCI,$27.88,1.09,28.0,1.2481,2475,181.0,0.1121,8.19,8.4825,0.17,27.1,25.71,0,2026-07-31,1.0,PUT  📉,2026-08-11,508968433.0,55237483,27.88,28.45,27.08,26.17,24.65,1.4,عند السعر — قريب من مقاومة $28.07,,False,False,Finnhub quote فشل,17,BUY,62,MegaCap +2 | OI>2K +3 | OptVol>100 +1 | Spread>8% -1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | NoEarnings✓ +2 | Gap+8.5% +2,2026-07-30 14:01 UTC
WULF,17.69,0.68,17.5,1.0703,6906,460.0,0.137,11.48,0.0901,0.35,16.51,15.27,0,2026-07-31,1.0,CALL 📈,2026-08-05,382055669.0,31507850,17.69,17.06,18.33,18.97,19.79,1.0,عند السعر — قريب من دعم $17.33,,False,False,Finnhub quote فشل,16,WAIT,56,MegaCap +2 | OI>2K +3 | OptVol>100 +1 | Spread>8% -1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | NoEarnings✓ +2 | RSI oversold +1,2026-07-30 14:01 UTC
APLD,28.38,0.59,28.5,0.8516,2655,196.0,0.0806,10.89,0.0975,0.34,25.98,23.2,0,2026-07-31,1.0,CALL 📈,2026-10-08,263675471.0,21476847,28.38,27.24,29.36,30.81,32.21,0.9,عند السعر — قريب من دعم $27.66,,False,False,Finnhub quote فشل,15,AVOID,53,LargeCap +1 | OI>2K +3 | OptVol>100 +1 | Spread>8% -1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | NoEarnings✓ +2 | RSI oversold +1,2026-07-30 14:01 UTC
CRWV,73.42,1.58,73.0,0.5508,1668,413.0,0.0848,9.98,0.12359999999999999,0.45,68.65,60.54,0,2026-07-31,1.0,CALL 📈,2026-08-11,314335811.0,28767609,73.42,71.72,75.8,79.31,85.19,1.4,عند السعر — قريب من دعم $73.01,,False,False,Finnhub quote فشل,14,AVOID,49,LargeCap +1 | OI>1K +2 | OptVol>100 +1 | Spread>8% -1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | NoEarnings✓ +2 | RSI oversold +1,2026-07-30 14:01 UTC
SNXX,9.72,1.43,10.0,4.4141,1632,31.0,0.1613,49.28,0.21739999999999998,1.19,8.03,6.55,0,2026-07-31,1.0,PUT  📉,,,67934465,9.72,10.74,8.26,6.56,2.46,1.4,عند السعر — قريب من مقاومة $9.82,40.29,True,True,PM صعود قوي gap +40.3%,17,WAIT,62,MegaCap +2 | OI>1K +2 | Spread>8% -1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | FH PM قوي +4 | NoEarnings? +1 | RSI oversold +1,2026-07-30 14:01 UTC
KORU,14.85,1.48,15.0,3.1914,3609,15.0,0.2121,29.9,0.1655,1.16,13.96,11.5,0,2026-07-31,1.0,PUT  📉,,,24431662,14.85,15.76,13.57,11.65,8.0,1.4,عند السعر — قريب من مقاومة $14.92,23.26,True,True,PM صعود قوي gap +23.3%,17,WAIT,62,LargeCap +1 | OI>2K +3 | Spread>8% -1 | Friday✓ +2 | DTE1d +1 | Prem✓ +2 | ATR%>5 +3 | FH PM قوي +4 | NoEarnings? +1 | RSI oversold +1,2026-07-30 14:01 UTC
