date,ticker,direction,score,confidence,price_at_rec,entry_stock,stop_stock,tp1_stock,tp2_stock,tp3_stock,expiry,premium,strike,iv,dte_num,rec_kind,entry_chased,setup_pct,wait_tier,scanned_at,premium_quality,premium_quality_note,bs_fair_price,opt_bid,opt_ask,spread_pct,oi,tp1_rr_live,chase_pct,spy_regime,rec_note,telegram_sent,telegram_sent_at,telegram_kind,entry_hit,entry_hit_date,exit_date,exit_stock,exit_premium,exit_premium_source,status,result_pct,option_pnl_pct,days_to_entry,days_held,mfe_pct,mae_pct,hold_expiry_pct,expiry_premium,expiry_premium_source,option_pnl_expiry_pct,data_quality,data_quality_note
2026-07-24,SMCI,CALL,18,72,31.2,31.5,29.4,32.54,33.5,34.84,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-23,2026-07-23,32.54,,estimate,tp1_hit,3.3,,0.0,0.0,3.46,4.19,-9.84,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,TSLL,CALL,17,59,7.76,10.1,8.91,9.07,11.32,12.14,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,False,,2026-07-31,7.31,,intrinsic,expired,-27.03,,,,,,-27.62,,intrinsic,,unreliable,Entry لم يتحقق — لا تُحسب كتنفيذ
2026-07-24,T,CALL,16,71,22.96,23.37,22.62,23.47,24.01,24.69,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-24,23.47,,estimate,tp1_hit,0.43,,0.0,0.0,3.25,1.58,-0.51,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,HL,CALL,15,58,15.32,15.73,15.11,15.91,16.33,16.92,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,False,,2026-07-31,14.12,,intrinsic,expired,-11.76,,,,,,-10.24,,intrinsic,,unreliable,Entry لم يتحقق — لا تُحسب كتنفيذ
2026-07-24,INTC,PUT,17,59,99.78,99.87,107.72,99.24,86.3,78.45,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-24,99.24,,estimate,tp1_hit,0.63,,0.0,0.0,8.3,1.87,9.68,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,CLF,CALL,18,78,11.85,11.5,10.87,12.25,12.54,13.0,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-27,12.25,,estimate,tp1_hit,6.52,,0.0,3.0,6.87,4.09,0.17,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,TSLA,PUT,16,59,319.2,318.89,336.48,317.5,288.5,270.91,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-24,317.5,,estimate,tp1_hit,0.44,,0.0,0.0,3.88,1.28,2.41,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,SQQQ,CALL,16,68,43.96,44.06,41.69,45.47,46.55,48.14,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-27,45.47,,estimate,tp1_hit,3.2,,0.0,3.0,5.38,1.93,-0.75,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,IBIT,NEUTRAL,16,61,36.08,36.33,37.34,35.45,34.58,33.57,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-31,33.57,,intrinsic,tp3_hit,7.6,,0.0,7.0,2.86,2.39,1.9,,intrinsic,,partial,قيمة ذاتية بدون حالة انتهاء
2026-07-24,TQQQ,PUT,16,59,64.9,65.07,69.44,64.1,57.52,53.15,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-24,64.1,,estimate,tp1_hit,1.49,,0.0,0.0,2.43,2.04,0.69,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,FRMI,CALL,15,57,6.93,6.66,5.96,7.38,7.7,8.15,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-24,7.38,,estimate,tp1_hit,10.81,,0.0,0.0,13.29,3.74,-14.56,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-24,DRAM,PUT,17,62,54.81,55.19,60.35,53.31,46.28,41.12,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-24,2026-07-24,53.31,,estimate,tp1_hit,3.41,,0.0,0.0,4.46,1.87,8.73,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-27,TSLL,NEUTRAL,16,59,7.52,7.44,8.55,7.12,5.52,4.41,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-27,2026-07-28,7.12,,estimate,tp1_hit,4.3,,0.0,1.0,7.93,2.42,1.75,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-27,DRAM,PUT,17,62,54.19,54.36,59.21,53.88,45.97,41.12,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-27,2026-07-27,53.88,,estimate,tp1_hit,0.88,,0.0,0.0,7.6,1.71,7.34,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-27,ORCL,CALL,17,59,121.07,119.44,112.11,125.73,129.06,133.72,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-27,2026-07-30,125.73,,estimate,tp1_hit,5.27,,0.0,3.0,7.45,4.14,8.73,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-27,RKLB,CALL,16,56,66.86,68.66,62.85,70.56,73.2,76.9,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,False,,2026-07-31,64.95,,intrinsic,expired,-9.14,,,,,,-5.4,,intrinsic,,unreliable,Entry لم يتحقق — لا تُحسب كتنفيذ
2026-07-27,SQQQ,CALL,16,68,43.88,43.45,41.09,45.38,46.45,47.95,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-27,2026-07-28,45.38,,estimate,tp1_hit,4.44,,0.0,1.0,10.61,0.53,0.64,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-27,ETHA,CALL,14,64,14.87,14.92,14.4,15.34,15.72,16.19,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,False,,2026-07-31,14.07,,intrinsic,expired,-7.1,,,,,,-5.7,,intrinsic,,unreliable,Entry لم يتحقق — لا تُحسب كتنفيذ
2026-07-27,RGTI,CALL,17,56,15.89,15.65,14.48,16.63,17.16,17.9,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-27,2026-07-28,14.48,,estimate,stop_hit,-7.48,,0.0,1.0,3.0,10.22,-4.47,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-27,TQQQ,CALL,17,59,64.14,67.43,63.05,66.93,68.92,71.71,2026-07-31,2.05,59.0,1.0029,2.0,,,,,,,,,,,,,,,,,,,,False,,2026-07-31,64.62,5.62,intrinsic,expired,-5.03,174.15,,,,,-4.17,5.62,intrinsic,174.15,unreliable,Entry لم يتحقق — لا تُحسب كتنفيذ
2026-07-27,QBTS,CALL,16,56,18.4,18.4,16.94,19.33,21.49,22.42,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-27,2026-07-27,19.33,,estimate,tp1_hit,5.05,,0.0,0.0,6.2,3.53,-1.74,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-27,VG,NEUTRAL,12,58,13.17,13.91,12.92,13.81,14.27,14.91,2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-27,2026-07-28,12.92,,estimate,stop_hit,7.12,,0.0,1.0,12.94,1.44,3.81,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-28,SQQQ,CALL,17,71,46.25,47.02,44.53,48.51,50.32,52.58,2026-08-07,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-28,2026-07-29,48.51,,estimate,tp1_hit,3.17,,0.0,1.0,5.34,2.96,-20.46,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
2026-07-28,SMCI,PUT,16,56,$27.54,28.4,30.68,27.32,24.47,22.19,2026-08-07,,,,,,,,,,,,,,,,,,,,,,,,True,2026-07-28,2026-07-29,27.32,,estimate,tp1_hit,3.8,,0.0,1.0,9.58,1.65,-9.61,,intrinsic,,partial,سعر عقد تقديري — للمراجعة فقط
